country_code,country_name,category_code,category_name,rank,appId,title,developer,publisherCountry,installs,score,appUrl
in,India,EDUCATION,Education,1,com.getmyfunda.app,Funda: Daily learning in 1 Min,Funda App,India,"10,000,000+",4.3502336,https://play.google.com/store/apps/details?id=com.getmyfunda.app
in,India,EDUCATION,Education,2,com.seekho.android,Seekho: Short Learning Videos,Seekho App,India,"100,000,000+",4.442256,https://play.google.com/store/apps/details?id=com.seekho.android
in,India,EDUCATION,Education,3,com.vlv.aravali.upskillHindi,Guru: Short Videos App,Kuku Technologies Private Limited,India,"10,000,000+",4.3372207,https://play.google.com/store/apps/details?id=com.vlv.aravali.upskillHindi
in,India,EDUCATION,Education,4,com.master.learn.ai,Master : Watch Reels & Learn,Master : Short Learning Videos to Master any skill,India,"10,000,000+",4.5802116,https://play.google.com/store/apps/details?id=com.master.learn.ai
in,India,EDUCATION,Education,5,com.duolingo,Duolingo: Language Lessons,Duolingo,United States,"500,000,000+",4.590024,https://play.google.com/store/apps/details?id=com.duolingo
in,India,EDUCATION,Education,6,live.gosupernova.app,Supernova AI: Spoken English,24/7 Personal AI Tutor,India,"10,000,000+",4.7160034,https://play.google.com/store/apps/details?id=live.gosupernova.app
in,India,EDUCATION,Education,7,com.bolo.android,English Seekho : Speaking App,Seekho App,India,"10,000,000+",4.496765,https://play.google.com/store/apps/details?id=com.bolo.android
in,India,EDUCATION,Education,8,com.practice.ninja_study,MySivi AI English Speaking App,MySivi AI,India/United States,"10,000,000+",4.668547,https://play.google.com/store/apps/details?id=com.practice.ninja_study
in,India,EDUCATION,Education,9,com.zudo,Zudo: 100+ Short Courses,Airblack Technologies,India,"10,000,000+",4.2102866,https://play.google.com/store/apps/details?id=com.zudo
in,India,EDUCATION,Education,10,org.ck12.flexi,Flexi AI Tutor & Homework Help,CK-12 Foundation,United States,"1,000,000+",4.0933332,https://play.google.com/store/apps/details?id=org.ck12.flexi
in,India,EDUCATION,Education,11,xyz.penpencil.physicswala,PW - India's Learning Platform,Physicswallah,India,"50,000,000+",4.7015586,https://play.google.com/store/apps/details?id=xyz.penpencil.physicswala
in,India,EDUCATION,Education,12,com.getmyspeakeasy.app,SpeakEasy,Education Cloverfield Media,India,"500,000+",3.99187,https://play.google.com/store/apps/details?id=com.getmyspeakeasy.app
in,India,EDUCATION,Education,13,com.testbook.tbapp,Testbook: Exam Preparation App,Testbook: Exam Prep App,India,"50,000,000+",4.3273478,https://play.google.com/store/apps/details?id=com.testbook.tbapp
in,India,EDUCATION,Education,14,com.arise.student,Khare Maths App | 3rd-10th,India's #1 Maths Solution,India,"5,000,000+",4.329843,https://play.google.com/store/apps/details?id=com.arise.student
in,India,EDUCATION,Education,15,com.behtar.gyantv,GyanTV: Short Learning Videos,Gyani - Made in India for India,India,"10,000,000+",4.501936,https://play.google.com/store/apps/details?id=com.behtar.gyantv
in,India,EDUCATION,Education,16,com.createmypostly.app,Postly,Education Cloverfield Media,India,"100,000+",4.553571,https://play.google.com/store/apps/details?id=com.createmypostly.app
in,India,EDUCATION,Education,17,com.babybillion.superapp,BabyBillion: Kids Learning App,BabyBillion Private Limited,India,"1,000,000+",4.840796,https://play.google.com/store/apps/details?id=com.babybillion.superapp
in,India,EDUCATION,Education,18,com.naregaapp.bhulekhdata_bhulekh,Bhulekh & Sarkari Yojana Guide,FAYAZ AHMAD DAR,India,"1,000,000+",3.8125,https://play.google.com/store/apps/details?id=com.naregaapp.bhulekhdata_bhulekh
in,India,EDUCATION,Education,19,com.techaircraft.eepremium24,Premium24,TechAircraft Solution Private Limited,India,"100,000+",4.826087,https://play.google.com/store/apps/details?id=com.techaircraft.eepremium24
in,India,EDUCATION,Education,20,in.gov.diksha.app,DIKSHA - for School Education,NCERT,India,"10,000,000+",4.0413814,https://play.google.com/store/apps/details?id=in.gov.diksha.app
in,India,EDUCATION,Education,21,com.pw.pwtalk,PW Talk: English Speaking App,Physicswallah,India,"1,000,000+",4.638672,https://play.google.com/store/apps/details?id=com.pw.pwtalk
in,India,EDUCATION,Education,22,com.unacademy.antonio,Airlearn - Language Learning,Airlearn Tech,India/United States,"1,000,000+",4.598975,https://play.google.com/store/apps/details?id=com.unacademy.antonio
in,India,EDUCATION,Education,23,com.urbantech.bhulekhaupdete_allyojana,अपने नाम की जमीन देखें,Urban Tech Solutions app,India,"100,000+",3.67,https://play.google.com/store/apps/details?id=com.urbantech.bhulekhaupdete_allyojana
in,India,EDUCATION,Education,24,com.peat.GartenBank,Plantix - your crop doctor,Plantix,India/Germany,"10,000,000+",4.056359,https://play.google.com/store/apps/details?id=com.peat.GartenBank
in,India,EDUCATION,Education,25,yellowclass.kids.live,SpeakX: English Listening App,SpeakX.ai,India,"10,000,000+",4.591724,https://play.google.com/store/apps/details?id=yellowclass.kids.live
in,India,EDUCATION,Education,26,com.bible.kids,Bible App for Kids,Life.Church,United States,"100,000,000+",3.6762495,https://play.google.com/store/apps/details?id=com.bible.kids
in,India,EDUCATION,Education,27,com.adda247.app,Adda247: Govt Exam Prep App,Adda247,India,"10,000,000+",4.3714724,https://play.google.com/store/apps/details?id=com.adda247.app
in,India,EDUCATION,Education,28,english.hindi.translator.translate.translation,English to Hindi Translator,Icy Cool Apps,India,"1,000,000+",3.7478006,https://play.google.com/store/apps/details?id=english.hindi.translator.translate.translation
in,India,EDUCATION,Education,29,com.stimuler,Stimuler AI: English Fluency,Stimuler,India,"5,000,000+",4.585404,https://play.google.com/store/apps/details?id=com.stimuler
in,India,EDUCATION,Education,30,com.aitutor.ai.language.tutor,Lernix - AI Language Tutor,AppLock Inc.,India,"5,000,000+",4.169257,https://play.google.com/store/apps/details?id=com.aitutor.ai.language.tutor
in,India,EDUCATION,Education,31,com.appx.rojgar_with_ankit,Rojgar With Ankit (RWA),Rojgar with Ankit,India,"10,000,000+",4.6029425,https://play.google.com/store/apps/details?id=com.appx.rojgar_with_ankit
in,India,EDUCATION,Education,32,com.avseip.adoidl,Vidyagram,Aditya Ranjan Sir,India,"1,000,000+",4.8143234,https://play.google.com/store/apps/details?id=com.avseip.adoidl
in,India,EDUCATION,Education,33,com.techaircraft.surveyiq,SurveysIQ,Techaircraft Solution Private Limited,India,"1,000,000+",4.3909416,https://play.google.com/store/apps/details?id=com.techaircraft.surveyiq
in,India,EDUCATION,Education,34,digital.allen.study,"ALLEN - JEE, NEET, Class 6-10",ALLEN CAREER INSTITUTE PRIVATE LIMITED,India,"5,000,000+",4.5342736,https://play.google.com/store/apps/details?id=digital.allen.study
in,India,EDUCATION,Education,35,com.peerup,PeerUp: Learn English Speaking,Peerup,India,"1,000,000+",4.5111804,https://play.google.com/store/apps/details?id=com.peerup
in,India,EDUCATION,Education,36,online.eseva.schoolmitr,Shala Mitra – Study for GSEB,Pakko Mitra,India,"5,000,000+",4.44796,https://play.google.com/store/apps/details?id=online.eseva.schoolmitr
in,India,EDUCATION,Education,37,com.hellosimply.simplydraw,Simply Draw: Learn to Draw,Simply Ltd,Israel,"5,000,000+",4.695012,https://play.google.com/store/apps/details?id=com.hellosimply.simplydraw
in,India,EDUCATION,Education,38,com.unacademyapp,Unacademy: Learn & Crack Exams,Unacademy,India,"100,000,000+",4.117424,https://play.google.com/store/apps/details?id=com.unacademyapp
in,India,EDUCATION,Education,39,com.wearingo.audsupsc,Crack UPSC & Govt Exams,AITAINMENT,India,"1,000,000+",4.1641974,https://play.google.com/store/apps/details?id=com.wearingo.audsupsc
in,India,EDUCATION,Education,40,in.gov.scholarships.nspotr,NSP OTR,National Informatics Centre.,India,"10,000,000+",4.4750185,https://play.google.com/store/apps/details?id=in.gov.scholarships.nspotr
in,India,EDUCATION,Education,41,com.diksha.lms,DIKSHA Courses,NCERT,India,"1,000,000+",3.2773724,https://play.google.com/store/apps/details?id=com.diksha.lms
in,India,EDUCATION,Education,42,com.lingua.ai.tutor,Fluzy: Learn Language with AI,Mall Collections,United States,"1,000,000+",4.427273,https://play.google.com/store/apps/details?id=com.lingua.ai.tutor
in,India,EDUCATION,Education,43,com.vidyakul,Vidyakul Online Classes 9-12th,Vidyakul,India,"5,000,000+",4.505164,https://play.google.com/store/apps/details?id=com.vidyakul
in,India,EDUCATION,Education,44,com.testbook.caapp,Testbook SuperPass,Testbook: Exam Prep App,India,"5,000,000+",4.3735437,https://play.google.com/store/apps/details?id=com.testbook.caapp
in,India,EDUCATION,Education,45,ai.ncert.physicswala,PW Books NCERT Books Solutions,Physicswallah,India,"1,000,000+",4.404807,https://play.google.com/store/apps/details?id=ai.ncert.physicswala
in,India,EDUCATION,Education,46,com.curiousjr,PW CuriousJr: Class 1st - 8th,CuriousJr by PhysicsWallah,India,"1,000,000+",4.752493,https://play.google.com/store/apps/details?id=com.curiousjr
in,India,EDUCATION,Education,47,com.utkarshnew.android,Utkarsh: Govt Jobs & Exam Prep,Utkarsh Classes,India,"10,000,000+",4.5118737,https://play.google.com/store/apps/details?id=com.utkarshnew.android
in,India,EDUCATION,Education,48,com.kidzniosw.app,Crazinos by Crazy XYZ,PBL Ventures Pvt. Ltd.,India,"100,000+",4.948737,https://play.google.com/store/apps/details?id=com.kidzniosw.app
in,India,EDUCATION,Education,49,com.br.tradingappnew,MTrade: Learn Trading,P-Esthetico Clinic,India,"5,000+",3.079208,https://play.google.com/store/apps/details?id=com.br.tradingappnew
in,India,EDUCATION,Education,50,com.app.smartyme,SmartyMe: Micro Learning App,Apextech Ltd,Cyprus,"500,000+",4.310606,https://play.google.com/store/apps/details?id=com.app.smartyme
in,India,HEALTH_AND_FITNESS,Health & Fitness,1,care.disha,Disha: AI Health Coach,Curelink Pvt. Ltd.,India,"1,000,000+",4.695261,https://play.google.com/store/apps/details?id=care.disha
in,India,HEALTH_AND_FITNESS,Health & Fitness,2,com.traya.prod,Traya: Hair Loss Solutions,Traya Health,India,"10,000,000+",4.334073,https://play.google.com/store/apps/details?id=com.traya.prod
in,India,HEALTH_AND_FITNESS,Health & Fitness,3,com.noisefit,NoiseFit: Health & Fitness,Noise,India,"50,000,000+",4.399872,https://play.google.com/store/apps/details?id=com.noisefit
in,India,HEALTH_AND_FITNESS,Health & Fitness,4,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,Leap Fitness Group,Hong Kong,"100,000,000+",4.853745,https://play.google.com/store/apps/details?id=homeworkout.homeworkouts.noequipment
in,India,HEALTH_AND_FITNESS,Health & Fitness,5,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,EZ Health,Hong Kong,"10,000,000+",4.777428,https://play.google.com/store/apps/details?id=weightloss.weightlossforwomen.workoutforwomen.womenworkout
in,India,HEALTH_AND_FITNESS,Health & Fitness,6,com.coveiot.android.boat,boAt Crest,COVE,India,"10,000,000+",4.516053,https://play.google.com/store/apps/details?id=com.coveiot.android.boat
in,India,HEALTH_AND_FITNESS,Health & Fitness,7,in.sweatco.app,Sweatcoin・Walking Step Counter,Sweatco Ltd,United Kingdom,"100,000,000+",4.417531,https://play.google.com/store/apps/details?id=in.sweatco.app
in,India,HEALTH_AND_FITNESS,Health & Fitness,8,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,Hitchhike Tech,Hong Kong,"50,000,000+",4.8363366,https://play.google.com/store/apps/details?id=stepcounter.pedometer.stepstracker
in,India,HEALTH_AND_FITNESS,Health & Fitness,9,com.asianmobile.gymworkout,Gym Workout Tracker & Fitness,BG.Studio,Vietnam,"5,000,000+",4.1693406,https://play.google.com/store/apps/details?id=com.asianmobile.gymworkout
in,India,HEALTH_AND_FITNESS,Health & Fitness,10,com.strava,"Strava: Run, Bike, Walk",Strava Inc.,United States,"100,000,000+",4.627307,https://play.google.com/store/apps/details?id=com.strava
in,India,HEALTH_AND_FITNESS,Health & Fitness,11,com.google.android.apps.fitness,Google Fit: Activity Tracking,Google LLC,United States,"100,000,000+",4.069622,https://play.google.com/store/apps/details?id=com.google.android.apps.fitness
in,India,HEALTH_AND_FITNESS,Health & Fitness,12,com.health.care.sleep.sound.pulse.heartbeat,Health Care - Sound,HealthCare Fitness calorie mental for Android App,China/Hong Kong,"1,000,000+",4.351724,https://play.google.com/store/apps/details?id=com.health.care.sleep.sound.pulse.heartbeat
in,India,HEALTH_AND_FITNESS,Health & Fitness,13,icici.lombard.ghi,IL TakeCare Insurance App,ICICI Lombard GIC Ltd.,India,"10,000,000+",4.602267,https://play.google.com/store/apps/details?id=icici.lombard.ghi
in,India,HEALTH_AND_FITNESS,Health & Fitness,14,com.titan.fastrack.reflex,Fastrack Smart World,Titan Company Limited,India,"10,000,000+",4.211474,https://play.google.com/store/apps/details?id=com.titan.fastrack.reflex
in,India,HEALTH_AND_FITNESS,Health & Fitness,15,com.seekhoai.android,Seekho Health: Weight Loss App,Seekho App,India,"500,000+",4.207921,https://play.google.com/store/apps/details?id=com.seekhoai.android
in,India,HEALTH_AND_FITNESS,Health & Fitness,16,com.wegrow.we_grow,SuperLiving: My Wellness Coach,"SuperLiving: Weight Loss, Skin, Hair, Gut & Stress",India,"1,000,000+",4.522078,https://play.google.com/store/apps/details?id=com.wegrow.we_grow
in,India,HEALTH_AND_FITNESS,Health & Fitness,17,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,Leap Fitness Group,Hong Kong,"100,000,000+",4.884646,https://play.google.com/store/apps/details?id=menloseweight.loseweightappformen.weightlossformen
in,India,HEALTH_AND_FITNESS,Health & Fitness,18,com.religare.healthinsurance,Care Health - Customer App,Care Health Insurance limited,India,"5,000,000+",4.2113504,https://play.google.com/store/apps/details?id=com.religare.healthinsurance
in,India,HEALTH_AND_FITNESS,Health & Fitness,19,com.walk2cash.reward.pedometer.india,Walk2Cash:Real Cash Rewards,GuoYi Information,Hong Kong,"100,000+",4.5204463,https://play.google.com/store/apps/details?id=com.walk2cash.reward.pedometer.india
in,India,HEALTH_AND_FITNESS,Health & Fitness,20,com.boAt.wristgear,boAt Wearables,Imagine Marketing Limited,India,"10,000,000+",4.007088,https://play.google.com/store/apps/details?id=com.boAt.wristgear
in,India,HEALTH_AND_FITNESS,Health & Fitness,21,com.maxbupa.healthapp,Niva Bupa Health,Niva Bupa Health Insurance,India,"10,000,000+",4.5305243,https://play.google.com/store/apps/details?id=com.maxbupa.healthapp
in,India,HEALTH_AND_FITNESS,Health & Fitness,22,com.icardiac.heartratemonitor.healthapp,Heart Rate Monitor - iCardiac,iKame Applications - Begamob Global,Vietnam/Hong Kong,"500,000+",4.756757,https://play.google.com/store/apps/details?id=com.icardiac.heartratemonitor.healthapp
in,India,HEALTH_AND_FITNESS,Health & Fitness,23,com.blood.sugar.diary.monitor,Blood Sugar & Diabetes Tracker,Agratas,India,"500,000+",3.1643836,https://play.google.com/store/apps/details?id=com.blood.sugar.diary.monitor
in,India,HEALTH_AND_FITNESS,Health & Fitness,24,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,Flo Health Inc.,United States,"100,000,000+",4.765556,https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker
in,India,HEALTH_AND_FITNESS,Health & Fitness,25,com.star.customer_app,Star Health,Star Health And Allied Insurance Company Limited,India,"5,000,000+",4.6127496,https://play.google.com/store/apps/details?id=com.star.customer_app
