permission,android_permission_group,privacy_category,source
android.permission.INTERACT_ACROSS_USERS_FULL,,,
android.permission.BLUETOOTH,BLUETOOTH_NETWORK,Bluetooth,AOSP
android.permission.CONNECTIVITY_INTERNAL,,,
android.permission.MODIFY_PHONE_STATE,PHONE,Device Identifiers,AOSP
android.permission.READ_PRIVILEGED_PHONE_STATE,PHONE,Device Identifiers,AOSP
android.permission.UPDATE_DEVICE_STATS,,,
ti.permission.FMRX_ADMIN,,,
android.permission.BACKUP,,,
android.permission.BLUETOOTH_ADMIN,BLUETOOTH_NETWORK,Bluetooth,AOSP
android.permission.READ_PHONE_STATE,PHONE,Device Identifiers,AOSP
android.permission.ACCESS_NETWORK_STATE,NETWORK,Connectivity,AOSP
android.permission.CHANGE_WIFI_STATE,NETWORK,Connectivity,AOSP
android.permission.ACCESS_WIFI_STATE,NETWORK,Connectivity,AOSP
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",,,
android.permission.WRITE_SECURE_SETTINGS,SYSTEM_TOOLS,System Tools,AOSP
android.permission.NFC,NETWORK,Connectivity,AOSP
android.permission.INTERACT_ACROSS_USERS,,,
android.permission.DEVICE_POWER,,,
android.permission.STATUS_BAR_SERVICE,,,
android.permission.HDMI_CEC,,,
android.permission.BIND_APPWIDGET,,,
android.permission.MANAGE_APP_TOKENS,,,
android.permission.STATUS_BAR,,,
android.permission.MANAGE_ACTIVITY_STACKS,,,
android.permission.RECEIVE_SMS,SMS,SMS,AOSP
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",,,
android.permission.MANAGE_NETWORK_POLICY,,,
android.permission.ACCESS_KEYGUARD_SECURE_STORAGE,,,
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION",,,
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,,,
android.permission.BLUETOOTH_PRIVILEGED,BLUETOOTH_NETWORK,Bluetooth,AOSP
android.permission.AUTHENTICATE_ACCOUNTS,ACCOUNTS,Accounts,AOSP
android.permission.BROADCAST_STICKY,SYSTEM_TOOLS,System Tools,AOSP
android.permission.MANAGE_USB,HARDWARE_CONTROLS,Hardware Controls,AOSP
android.permission.CONFIGURE_WIFI_DISPLAY,,,
android.permission.LOCATION_HARDWARE,,,
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS",,,
"android.permission.BIND_DEVICE_ADMIN, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.STORAGE_INTERNAL,,,
android.permission.MANAGE_ACCOUNTS,ACCOUNTS,Accounts,AOSP
android.permission.MODIFY_AUDIO_SETTINGS,SYSTEM_TOOLS,System Tools,AOSP
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
"android.permission.RECEIVE_SMS, android.permission.SEND_SMS",,,
android.permission.WAKE_LOCK,SYSTEM_TOOLS,System Tools,AOSP
android.permission.SET_DEBUG_APP,,,
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_USERS",,,
android.permission.ACCOUNT_MANAGER,ACCOUNTS,Accounts,AOSP
android.permission.WRITE_SYNC_SETTINGS,,,
android.permission.SET_ACTIVITY_WATCHER,,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.WRITE_SECURE_SETTINGS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE, android.permission.SEND_SMS, android.permission.UPDATE_APP_OPS_STATS",,,
android.permission.GET_ACCOUNTS,CONTACTS,Contacts,AOSP
android.permission.EXPAND_STATUS_BAR,,,
android.permission.CHANGE_WIFI_MULTICAST_STATE,,,
android.permission.USE_SIP,PHONE,Device Identifiers,AOSP
android.permission.START_ANY_ACTIVITY,,,
android.permission.UPDATE_APP_OPS_STATS,,,
android.permission.WRITE_SMS,MESSAGES,SMS,AOSP
android.permission.TV_INPUT_HARDWARE,,,
android.permission.ACCESS_VOICE_INTERACTION_SERVICE,,,
android.permission.READ_SYNC_STATS,,,
android.permission.READ_SYNC_SETTINGS,,,
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE",,,
android.permission.WRITE_CONTACTS,CONTACTS,Contacts,AOSP
android.permission.SEND_SMS,SMS,SMS,AOSP
android.permission.ACCESS_MOCK_LOCATION,LOCATION,Location,AOSP
android.permission.REBOOT,,,
android.permission.PACKAGE_USAGE_STATS,,,
android.permission.WRITE_DREAM_STATE,,,
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.UPDATE_DEVICE_STATS",,,
com.android.voicemail.permission.ADD_VOICEMAIL,,,
"android.permission.UPDATE_DEVICE_STATS, android.permission.WAKE_LOCK",,,
android.permission.DUMP,,,
android.permission.RETRIEVE_WINDOW_INFO,,,
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP, android.permission.UPDATE_DEVICE_STATS",,,
android.permission.MANAGE_FINGERPRINT,,,
"android.permission.READ_EXTERNAL_STORAGE, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",,,
"android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",,,
android.permission.CHANGE_NETWORK_STATE,NETWORK,Connectivity,AOSP
android.permission.BIND_DEVICE_ADMIN,,,
android.permission.MOUNT_FORMAT_FILESYSTEMS,,,
android.permission.READ_FRAME_BUFFER,,,
android.permission.BATTERY_STATS,,,
android.permission.SET_PREFERRED_APPLICATIONS,,,
android.permission.READ_DREAM_STATE,,,
