permission,count
android.permission.INTERACT_ACROSS_USERS_FULL,297
android.permission.BLUETOOTH,193
android.permission.CONNECTIVITY_INTERNAL,153
android.permission.MODIFY_PHONE_STATE,132
android.permission.READ_PRIVILEGED_PHONE_STATE,101
android.permission.UPDATE_DEVICE_STATS,94
ti.permission.FMRX_ADMIN,94
android.permission.BACKUP,74
android.permission.BLUETOOTH_ADMIN,73
android.permission.READ_PHONE_STATE,66
android.permission.ACCESS_NETWORK_STATE,52
android.permission.CHANGE_WIFI_STATE,52
android.permission.ACCESS_WIFI_STATE,50
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",46
android.permission.WRITE_SECURE_SETTINGS,40
android.permission.NFC,36
android.permission.INTERACT_ACROSS_USERS,36
android.permission.DEVICE_POWER,35
android.permission.STATUS_BAR_SERVICE,34
android.permission.HDMI_CEC,33
android.permission.BIND_APPWIDGET,25
android.permission.MANAGE_APP_TOKENS,25
android.permission.STATUS_BAR,23
android.permission.MANAGE_ACTIVITY_STACKS,23
android.permission.RECEIVE_SMS,22
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",21
android.permission.MANAGE_NETWORK_POLICY,20
android.permission.ACCESS_KEYGUARD_SECURE_STORAGE,20
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION",19
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,17
android.permission.BLUETOOTH_PRIVILEGED,17
android.permission.AUTHENTICATE_ACCOUNTS,16
android.permission.BROADCAST_STICKY,16
android.permission.MANAGE_USB,16
android.permission.CONFIGURE_WIFI_DISPLAY,15
android.permission.LOCATION_HARDWARE,15
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS",15
"android.permission.BIND_DEVICE_ADMIN, android.permission.INTERACT_ACROSS_USERS_FULL",14
android.permission.STORAGE_INTERNAL,14
android.permission.MANAGE_ACCOUNTS,13
android.permission.MODIFY_AUDIO_SETTINGS,13
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",13
"android.permission.RECEIVE_SMS, android.permission.SEND_SMS",12
android.permission.WAKE_LOCK,12
android.permission.SET_DEBUG_APP,12
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL",11
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_USERS",11
android.permission.ACCOUNT_MANAGER,10
android.permission.WRITE_SYNC_SETTINGS,10
android.permission.SET_ACTIVITY_WATCHER,10
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.WRITE_SECURE_SETTINGS",10
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE, android.permission.SEND_SMS, android.permission.UPDATE_APP_OPS_STATS",10
android.permission.GET_ACCOUNTS,9
android.permission.EXPAND_STATUS_BAR,9
android.permission.CHANGE_WIFI_MULTICAST_STATE,9
android.permission.USE_SIP,9
android.permission.START_ANY_ACTIVITY,9
android.permission.UPDATE_APP_OPS_STATS,9
android.permission.WRITE_SMS,9
android.permission.TV_INPUT_HARDWARE,9
android.permission.ACCESS_VOICE_INTERACTION_SERVICE,9
android.permission.READ_SYNC_STATS,8
android.permission.READ_SYNC_SETTINGS,8
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE",8
android.permission.WRITE_CONTACTS,8
android.permission.SEND_SMS,8
android.permission.ACCESS_MOCK_LOCATION,8
android.permission.REBOOT,8
android.permission.PACKAGE_USAGE_STATS,8
android.permission.WRITE_DREAM_STATE,8
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.UPDATE_DEVICE_STATS",8
com.android.voicemail.permission.ADD_VOICEMAIL,7
"android.permission.UPDATE_DEVICE_STATS, android.permission.WAKE_LOCK",7
android.permission.DUMP,7
android.permission.RETRIEVE_WINDOW_INFO,7
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP, android.permission.UPDATE_DEVICE_STATS",7
android.permission.MANAGE_FINGERPRINT,7
"android.permission.READ_EXTERNAL_STORAGE, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",7
"android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",6
android.permission.CHANGE_NETWORK_STATE,6
android.permission.BIND_DEVICE_ADMIN,6
android.permission.MOUNT_FORMAT_FILESYSTEMS,6
android.permission.READ_FRAME_BUFFER,6
android.permission.BATTERY_STATS,6
android.permission.SET_PREFERRED_APPLICATIONS,6
android.permission.READ_DREAM_STATE,6
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS",6
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.STATUS_BAR",6
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL, com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS",6
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION, android.permission.UPDATE_APP_OPS_STATS",6
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_STATS",6
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_SETTINGS",6
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS,6
android.permission.CRYPT_KEEPER,5
android.permission.READ_NETWORK_USAGE_HISTORY,5
android.permission.INSTALL_PACKAGES,5
