record_id,category,subcategory,framework,package_name,class_name,method_name,api_name,api_type,permission,sources,source_versions,supported_android_versions,import_timestamp,min_android_api,max_android_api,confidence,documentation_url,deprecated,notes
,Contacts,,Android Framework,android.accounts,AccountManager,getAccountsByTypeAndFeatures,getAccountsByTypeAndFeatures,method,android.permission.GET_ACCOUNTS,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Contacts,,Android Framework,android.accounts,AccountManager,hasFeatures,hasFeatures,method,android.permission.GET_ACCOUNTS,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Contacts,,Android Framework,android.accounts,AccountManager,getAccounts,getAccounts,method,android.permission.GET_ACCOUNTS,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Contacts,,Android Framework,android.accounts,AccountManager,getAccountsByType,getAccountsByType,method,android.permission.GET_ACCOUNTS,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Contacts,,Android Framework,android.accounts,AccountManager,addOnAccountsUpdatedListener,addOnAccountsUpdatedListener,method,android.permission.GET_ACCOUNTS,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.content,Intent,ACTION_CALL,ACTION_CALL,field,android.permission.CALL_PHONE,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.hardware.camera2,CameraManager,openCamera,openCamera,method,android.permission.CAMERA,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Unknown,,Android Framework,android.location,LocationManager,getLastKnownLocation,getLastKnownLocation,method,android.permission.ACCESS_COARSE_LOCATION,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,getLastKnownLocation,getLastKnownLocation,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,addGpsStatusListener,addGpsStatusListener,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,addNmeaListener,addNmeaListener,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.677824+00:00,23,25,high,,False,
