tracker_name,package_prefix,categories,network_signature,website,source,code_signature
360Dialog,com.threesixtydialog.sdk,Location|Advertisement|Identification|Profiling|Analytics,,https://www.360dialog.com,exodus,com.threesixtydialog.sdk.
ABTasty,com.abtasty,Analytics,abtasty\.com,https://www.abtasty.com,exodus,com.abtasty
ACRA,ch.acra,Crash reporting,,https://www.acra.ch/,exodus,org.acra.|ch.acra.
ACRA,org.acra,Crash reporting,,https://www.acra.ch/,exodus,org.acra.|ch.acra.
ACRCloud,com.acrcloud,Analytics,acrcloud.com|hb-minify-juc1ugur1qwqqqo4.stackpathdns.com,https://acrcloud.com/,exodus,com.acrcloud
AD(X),com.adxcorp.ads,Advertisement,,https://adxcorp.kr/,exodus,com.adxcorp.ads|com.adxcorp.nativead
AD(X),com.adxcorp.nativead,Advertisement,,https://adxcorp.kr/,exodus,com.adxcorp.ads|com.adxcorp.nativead
ADLIB,com.mocoplex.adlib,,adlibr\.com,https://adlibr.com,exodus,com.mocoplex.adlib.
AMoAd,com.amoad,,,https://www.amoad.com,exodus,com.amoad.
ATInternet,com.atinternet,Analytics,ati-host\.net,https://www.atinternet.com/en/,exodus,com.atinternet.
Aarki,com.aarki,Advertisement|Identification|Profiling|Analytics,,https://www.aarki.com,exodus,com.aarki
AccountKit,com.facebook.accountkit,Identification,graph\.accountkit\.com,https://www.accountkit.com/,exodus,com.facebook.accountkit
Actv8me,me.actv8,Location|Advertisement|Identification|Profiling,actv8technologies\.com,https://www.actv8me.com/,exodus,me.actv8
Acuant,com.acuant.acuantcamera,Profiling,frm\.acuant\.net|medicscan\.acuant\.net|services\.assureid\.net,https://www.acuantcorp.com,exodus,com.acuant.acuantcamera
Ad Generation,com.socdm.d.adgeneration,Advertisement,,https://supership.jp/business/adgeneration/,exodus,com.socdm.d.adgeneration.
Ad4Screen,com.ad4screen.sdk,Advertisement,a4\.tl|accengage\.com|ad4push\.com|ad4screen\.com,http://www.ad4screen.com,exodus,com.ad4screen.sdk
AdAdapted,com.adadapted.android.sdk,Advertisement|Analytics,ads\.adadapted\.com,https://www.adadapted.com,exodus,com.adadapted.android.sdk.
AdBuddiz,com.purplebrain.adbuddiz.sdk,Advertisement,sdk\.adbuddiz\.com,http://www.adbuddiz.com/abuse?hl=fr,exodus,com.purplebrain.adbuddiz.sdk.
AdColony,com.adcolony,Advertisement,adc3-launch\.adcolony\.com|adcolony\.com|ads30\.adcolony\.com|androidads20\.adcolony\.com|androidads21\.adcolony\.com|androidads23\.adcolony\.com|events3alt\.adcolony\.com|wd\.adcolony\.com,http://adcolony.com/,exodus,com.adcolony.|com.jirbo.adcolony.
AdColony,com.jirbo.adcolony,Advertisement,adc3-launch\.adcolony\.com|adcolony\.com|ads30\.adcolony\.com|androidads20\.adcolony\.com|androidads21\.adcolony\.com|androidads23\.adcolony\.com|events3alt\.adcolony\.com|wd\.adcolony\.com,http://adcolony.com/,exodus,com.adcolony.|com.jirbo.adcolony.
AdFalcon,com.noqoush.adfalcon.android.sdk,Advertisement,,http://adfalcon.com,exodus,com.noqoush.adfalcon.android.sdk
AdFit (Daum),com.kakao.adfit,,analytics\.ad\.daum\.net|statistics\.videofarm\.daum\.net,https://www.daum.net,exodus,com.kakao.adfit.
AdGateMedia,com.adgatemedia,Advertisement,,https://adgatemedia.com/,exodus,com.adgatemedia.
AdGem,com.adgem.android,Advertisement,,https://adgem.com/,exodus,com.adgem.android.
AdLocus,com.adlocus,Location|Advertisement|Identification|Profiling,,https://adlocus.com,exodus,com.adlocus.
AdMarvel,com.admarvel,Advertisement,,https://www.crunchbase.com/organization/admarvel,exodus,com.admarvel.
AdMuing,com.admuing.danmaku,Advertisement,,https://github.com/admuing,exodus,com.admuing.danmaku.
AdTiming,com.adtiming,Advertisement,,https://www.adtiming.com/,exodus,com.aiming.mdt.|com.adtiming.
AdTiming,com.aiming.mdt,Advertisement,,https://www.adtiming.com/,exodus,com.aiming.mdt.|com.adtiming.
AdTrial,com.adtrial.sdk,Advertisement,,https://adtrial.com/,exodus,com.adtrial.sdk.
Adbrix,com.igaworks.adbrix,Profiling|Analytics,ad-brix\.com,http://ad-brix.com/,exodus,com.igaworks.adbrix
Adcash,com.adcash.mobileads,Advertisement,,https://adcash.com,exodus,com.adcash.mobileads.
Adcenix,com.adcenix,Advertisement,,http://adcenix.com,exodus,com.adcenix.
Add Apt Tr,com.intentsoftware.addapptr,,aatkit\.com,https://www.addapptr.com,exodus,com.intentsoftware.addapptr.
Adform,com.adform.sdk,,adform\.com|adformdsp\.net|adx\.adform\.net|files\.adform\.net|track\.adform\.net,https://site.adform.com,exodus,com.adform.sdk.
Adfurikun,com.glossomads.sdk,Advertisement,adfurikun\.jp|ginf\.adfurikun\.jp,https://adfurikun.jp/adfurikun/,exodus,jp.tjkapp.adfurikunsdk.|com.glossomads.sdk.
Adfurikun,jp.tjkapp.adfurikunsdk,Advertisement,adfurikun\.jp|ginf\.adfurikun\.jp,https://adfurikun.jp/adfurikun/,exodus,jp.tjkapp.adfurikunsdk.|com.glossomads.sdk.
Adincube,com.adincube.sdk,,sdk\.adincube\.com,https://www.adincube.com/,exodus,com.adincube.sdk.
Adjoe,io.adjoe.protection,Advertisement,,https://adjoe.io/,exodus,io.adjoe.sdk.|io.adjoe.protection.
Adjoe,io.adjoe.sdk,Advertisement,,https://adjoe.io/,exodus,io.adjoe.sdk.|io.adjoe.protection.
Adjust,com.adjust.android.sdk,Analytics,adj\.st|adjust\.com|go\.link,https://www.adjust.com/,exodus,com.adjust.sdk.|com.adjust.android.sdk.
Adjust,com.adjust.sdk,Analytics,adj\.st|adjust\.com|go\.link,https://www.adjust.com/,exodus,com.adjust.sdk.|com.adjust.android.sdk.
Adjust Unbotify,com.unbotify.mobile.sdk,Analytics,,https://www.adjust.com/product/unbotify/,exodus,com.unbotify.mobile.sdk.
Admitad,ru.tachos.admitadstatisticsdk,Advertisement,.*\.admitad.com,https://www.admitad.com,exodus,ru.tachos.admitadstatisticsdk
Admixer,com.admixer,Advertisement,admixer\.co\.kr|admixer\.net,http://admixer.co.kr/,exodus,com.admixer|net.admixer.sdk
Admixer,net.admixer.sdk,Advertisement,admixer\.co\.kr|admixer\.net,http://admixer.co.kr/,exodus,com.admixer|net.admixer.sdk
Admost,admost.adserver,Advertisement,cdn\-api\.admost\.com|go\.admost\.com|med\-api\.admost\.com,https://admost.com/,exodus,admost.sdk.|admost.adserver.
Admost,admost.sdk,Advertisement,cdn\-api\.admost\.com|go\.admost\.com|med\-api\.admost\.com,https://admost.com/,exodus,admost.sdk.|admost.adserver.
Adobe Experience Cloud,com.adobe.marketing.mobile,,,https://www.adobe.com/experience-cloud.html,exodus,com.adobe.marketing.mobile
Adot,com.adotmob,,sdk\.adotmob\.com|sync\.adotmob\.com|tracker\.adotmob\.com,https://we-are-adot.com/,exodus,com.adotmob
AdsWizz,.adswizz,,adswizz\.com|cdn\.adswizz.com\.edgesuite\.net,http://www.adswizz.com/,exodus,.adswizz.
AerServ,com.aerserv.sdk,Advertisement,ads\.aerserv\.com|debug\.aerserv\.com,https://www.aerserv.com/,exodus,com.aerserv.sdk.
Airpush,com.airpush,Advertisement,api\.airpush\.com|apidm\.airpush\.com|apistaging\.airpush\.com|apportal\.airpush\.com|appwall\.api\.airpush\.com|beta\.airpush\.com|cdnap\.airpush\.com|m\.airpush\.com,https://airpush.com/,exodus,com.airpush.
Akamai MAP,com.akamai.android.sdk.akamap,Analytics,,https://www.akamai.com/,exodus,com.akamai.android.sdk.AkaMap
Alimama (formerly AdsMogo),com.adsmogo,Advertisement,\.alimama\.|\.adsmogo\.,https://www.alimama.com/,exodus,com.adsmogo.|com.alimama.
Alimama (formerly AdsMogo),com.alimama,Advertisement,\.alimama\.|\.adsmogo\.,https://www.alimama.com/,exodus,com.adsmogo.|com.alimama.
Alohalytics,org.alohalytics,Analytics,,https://github.com/biodranik/Alohalytics,exodus,org.alohalytics.
Alooma,com.github.aloomaio.androidsdk,Analytics,inputs\.alooma\.com,https://www.alooma.com,exodus,com.github.aloomaio.androidsdk
Alphonso,tv.alphonso.service,Analytics,api\.alphonso\.tv|prov\.alphonso\.tv,http://alphonso.tv,exodus,tv.alphonso.service
AltBeacon,com.altbeacon.beacon,,data.\altbeacon\.org,https://altbeacon.org,exodus,org.altbeacon.beacon.|com.altbeacon.beacon.|org.altbeacon.bluetooth.
AltBeacon,org.altbeacon.beacon,,data.\altbeacon\.org,https://altbeacon.org,exodus,org.altbeacon.beacon.|com.altbeacon.beacon.|org.altbeacon.bluetooth.
AltBeacon,org.altbeacon.bluetooth,,data.\altbeacon\.org,https://altbeacon.org,exodus,org.altbeacon.beacon.|com.altbeacon.beacon.|org.altbeacon.bluetooth.
Altamob,com.altamob.sdk,Advertisement,api\.altamob\.com,https://www.altamob.com/en/index.html,exodus,com.altamob.sdk
Amazon Advertisement,com.amazon.device.ads,,,https://developer.amazon.com/public/apis/earn/mobile-ads/docs/quick-start,exodus,com.amazon.device.ads
Amazon Analytics (Amazon insights),com.amazon.insights,Analytics,mobileanalytics\.us-east-1\.amazonaws\.com,https://developer.amazon.com/docs/apps-and-games/sdk-downloads.html,exodus,com.amazon.insights|com.amazonaws.mobileconnectors.pinpoint.analytics.|com.amazonaws.mobileconnectors.amazonmobileanalytics
Amazon Analytics (Amazon insights),com.amazonaws.mobileconnectors.amazonmobileanalytics,Analytics,mobileanalytics\.us-east-1\.amazonaws\.com,https://developer.amazon.com/docs/apps-and-games/sdk-downloads.html,exodus,com.amazon.insights|com.amazonaws.mobileconnectors.pinpoint.analytics.|com.amazonaws.mobileconnectors.amazonmobileanalytics
Amazon Analytics (Amazon insights),com.amazonaws.mobileconnectors.pinpoint.analytics,Analytics,mobileanalytics\.us-east-1\.amazonaws\.com,https://developer.amazon.com/docs/apps-and-games/sdk-downloads.html,exodus,com.amazon.insights|com.amazonaws.mobileconnectors.pinpoint.analytics.|com.amazonaws.mobileconnectors.amazonmobileanalytics
Amazon Mobile Analytics (Amplify),com.amplifyframework.analytics,Analytics,,https://aws.amazon.com/amplify/,exodus,com.amplifyframework.analytics.
