permission,category
ACCESS_FINE_LOCATION,Location
ACCESS_COARSE_LOCATION,Location
READ_CONTACTS,Contacts
WRITE_CONTACTS,Contacts
GET_ACCOUNTS,Accounts
READ_SMS,SMS
SEND_SMS,SMS
RECEIVE_SMS,SMS
READ_CALL_LOG,Call Logs
WRITE_CALL_LOG,Call Logs
CAMERA,Camera
RECORD_AUDIO,Microphone
BODY_SENSORS,Sensors
READ_CALENDAR,Calendar
WRITE_CALENDAR,Calendar
READ_PHONE_STATE,Device Identifiers
BLUETOOTH_SCAN,Bluetooth
BLUETOOTH_CONNECT,Bluetooth
BLUETOOTH_ADVERTISE,Bluetooth
ACCESS_NETWORK_STATE,Connectivity
QUERY_ALL_PACKAGES,PackageManager
