package,class,method,permissions,categories
android.accounts,AbstractAccountAuthenticator$Transport,addAccount,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,addAccountFromCredentials,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,confirmCredentials,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,editProperties,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,getAccountCredentialsForCloning,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,getAccountRemovalAllowed,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,getAuthToken,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,getAuthTokenLabel,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,hasFeatures,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AbstractAccountAuthenticator$Transport,updateCredentials,android.permission.ACCOUNT_MANAGER,Unknown
android.accounts,AccountManagerService,addAccount,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,addAcount,android.permission.MANAGE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,clearPassword,android.permission.MANAGE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,confirmCredentials,android.permission.MANAGE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,confirmCredentialsAsUser,android.permission.MANAGE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,editProperties,android.permission.MANAGE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,getAccounts,android.permission.GET_ACCOUNTS,Accounts
android.accounts,AccountManagerService,getAccountsAsUser,android.permission.GET_ACCOUNTS,Accounts
android.accounts,AccountManagerService,getAccountsByFeatures,android.permission.GET_ACCOUNTS,Accounts
android.accounts,AccountManagerService,getAuthToken,android.permission.USE_CREDENTIALS,Unknown
android.accounts,AccountManagerService,getPassword,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,getUserData,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,hasFeatures,android.permission.GET_ACCOUNTS,Accounts
android.accounts,AccountManagerService,invalidateAuthToken,"android.permission.MANAGE_ACCOUNTS, android.permission.USE_CREDENTIALS",Unknown
android.accounts,AccountManagerService,peekAuthToken,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,removeAccount,android.permission.MANAGE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,setAuthToken,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,setPassword,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,setUserData,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
android.accounts,AccountManagerService,updateCredentials,android.permission.MANAGE_ACCOUNTS,Unknown
android.content,ContentService,addPeriodicSync,android.permission.WRITE_SYNC_SETTINGS,Unknown
android.content,ContentService,getCurrentSyncs,android.permission.READ_SYNC_STATS,Unknown
android.content,ContentService,getIsSyncable,android.permission.READ_SYNC_SETTINGS,Unknown
android.content,ContentService,getMasterSyncAutomatically,android.permission.READ_SYNC_SETTINGS,Unknown
android.content,ContentService,getPeriodicSyncs,android.permission.READ_SYNC_SETTINGS,Unknown
android.content,ContentService,getSyncAutomatically,android.permission.READ_SYNC_SETTINGS,Unknown
android.content,ContentService,getSyncStatus,android.permission.READ_SYNC_STATS,Unknown
android.content,ContentService,isSyncActive,android.permission.READ_SYNC_STATS,Unknown
android.content,ContentService,isSyncPending,android.permission.READ_SYNC_STATS,Unknown
android.content,ContentService,registerContentObserver,android.permission.INTERACT_ACROSS_USERS_FULL,Unknown
android.content,ContentService,removePeriodicSync,android.permission.WRITE_SYNC_SETTINGS,Unknown
android.content,ContentService,setIsSyncable,android.permission.WRITE_SYNC_SETTINGS,Unknown
android.content,ContentService,setMasterSyncAutomatically,android.permission.WRITE_SYNC_SETTINGS,Unknown
android.content,ContentService,setSyncAutomatically,android.permission.WRITE_SYNC_SETTINGS,Unknown
android.hardware.location,ActivityRecognitionHardware,disableActivityEvent,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ActivityRecognitionHardware,enableActivityEvent,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ActivityRecognitionHardware,flush,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ActivityRecognitionHardware,getSupportedActivities,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ActivityRecognitionHardware,isActivitySupported,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ActivityRecognitionHardware,registerSink,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ActivityRecognitionHardware,unregisterSink,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,findNanoAppOnHub,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,getContextHubHandles,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,getContextHubInfo,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,getNanoAppInstanceInfo,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,loadNanoApp,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,registerCallback,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,sendMessage,android.permission.LOCATION_HARDWARE,Unknown
android.hardware.location,ContextHubService,unloadNanoApp,android.permission.LOCATION_HARDWARE,Unknown
android.media,AudioService,adjustStreamVolume,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,adjustSuggestedStreamVolume,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,disableSafeMediaVolume,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,forceRemoteSubmixFullVolume,android.permission.CAPTURE_AUDIO_OUTPUT,Unknown
android.media,AudioService,notifyVolumeControllerVisible,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,registerAudioPolicy,android.permission.MODIFY_AUDIO_ROUTING,Unknown
android.media,AudioService,registerMediaButtonEventReceiverForCalls,android.permission.MODIFY_PHONE_STATE,Unknown
android.media,AudioService,registerRemoteControlDisplay,android.permission.MEDIA_CONTENT_CONTROL,Unknown
android.media,AudioService,registerRemoteController,android.permission.MEDIA_CONTENT_CONTROL,Unknown
android.media,AudioService,requestAudioFocus,android.permission.MODIFY_PHONE_STATE,Unknown
android.media,AudioService,setBluetoothScoOn,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
android.media,AudioService,setFocusPropertiesForPolicy,android.permission.MODIFY_AUDIO_ROUTING,Unknown
android.media,AudioService,setMicrophoneMute,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
android.media,AudioService,setMode,"android.permission.MODIFY_AUDIO_SETTINGS, android.permission.MODIFY_AUDIO_SETTINGS, android.permission.MODIFY_PHONE_STATE",Unknown
android.media,AudioService,setRemoteStreamVolume,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,setRingerModeExternal,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,setRingerModeInternal,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,setRingtonePlayer,android.permission.REMOTE_AUDIO_PLAYBACK,Unknown
android.media,AudioService,setSpeakerphoneOn,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
android.media,AudioService,setStreamVolume,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,setVolumeController,android.permission.STATUS_BAR_SERVICE,Unknown
android.media,AudioService,startBluetoothSco,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
android.media,AudioService,startBluetoothScoVirtualCall,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
android.media,AudioService,stopBluetoothSco,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
android.media,AudioService,unregisterMediaButtonEventReceiverForCalls,android.permission.MODIFY_PHONE_STATE,Unknown
android.net.wifi.p2p,WifiP2pService,getMessenger,"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE",Unknown
android.net.wifi.p2p,WifiP2pService,setMiracastMode,android.permission.CONNECTIVITY_INTERNAL,Unknown
android.server,BluetoothA2dpService,allowIncomingConnect,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothA2dpService,connect,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothA2dpService,connectSinkInternal,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothA2dpService,disconnect,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothA2dpService,disconnectSinkInternal,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothA2dpService,getConnectedDevices,android.permission.BLUETOOTH,Unknown
android.server,BluetoothA2dpService,getConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothA2dpService,getDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
android.server,BluetoothA2dpService,getPriority,android.permission.BLUETOOTH,Unknown
android.server,BluetoothA2dpService,isA2dpPlaying,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothA2dpService,resumeSink,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothA2dpService,setPriority,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothA2dpService,suspendSink,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,addRfcommServiceRecord,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,allowIncomingProfileConnect,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,cancelBondProcess,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,cancelDiscovery,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,cancelPairingUserInput,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,changeApplicationBluetoothState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,connectChannelToSink,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,connectChannelToSource,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,connectHeadset,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,connectInputDevice,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,connectPanDevice,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,createBond,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,createBondOutOfBand,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,disable,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,disconnectChannel,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,disconnectHeadset,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,disconnectInputDevice,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,disconnectPanDevice,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,enable,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,enableNoAutoConnect,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,fetchRemoteUuids,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getAddress,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getBluetoothState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getBondState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getConnectedHealthDevices,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getConnectedInputDevices,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getConnectedPanDevices,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getDiscoverableTimeout,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getHealthDeviceConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getHealthDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getInputDeviceConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getInputDevicePriority,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getInputDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getMainChannelFd,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getName,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getPanDeviceConnectionState,android.permission.BLUETOOTH,Unknown
