package,class,method,permissions,categories
android.accounts,AccountManager,addOnAccountsUpdatedListener,android.permission.GET_ACCOUNTS,Contacts
android.accounts,AccountManager,getAccounts,android.permission.GET_ACCOUNTS,Contacts
android.accounts,AccountManager,getAccountsByType,android.permission.GET_ACCOUNTS,Contacts
android.accounts,AccountManager,getAccountsByTypeAndFeatures,android.permission.GET_ACCOUNTS,Contacts
android.accounts,AccountManager,hasFeatures,android.permission.GET_ACCOUNTS,Contacts
android.bluetooth,BluetoothDevice,ACTION_FOUND,android.permission.ACCESS_COARSE_LOCATION,Unknown
android.content,Context,checkSelfPermission,android.permission._PERM_CHECKER_,Unknown
android.content,Intent,ACTION_CALL,android.permission.CALL_PHONE,Device Identifiers
android.content,Intent,ACTION_NEW_OUTGOING_CALL,android.permission.PROCESS_OUTGOING_CALLS,Unknown
android.hardware,Camera,open,android.permission.CAMERA,Unknown
android.hardware,Sensor,TYPE_HEART_RATE,android.permission.BODY_SENSORS,Unknown
android.hardware.camera2,CameraManager,openCamera,android.permission.CAMERA,Unknown
android.hardware.location,GeofenceHardware,addGeofence,android.permission.ACCESS_FINE_LOCATION,Location
android.hardware.location,GeofenceHardware,pauseGeofence,android.permission.ACCESS_FINE_LOCATION,Location
android.hardware.location,GeofenceHardware,registerForMonitorStateChangeCallback,android.permission.ACCESS_FINE_LOCATION,Location
android.hardware.location,GeofenceHardware,removeGeofence,android.permission.ACCESS_FINE_LOCATION,Location
android.hardware.location,GeofenceHardware,resumeGeofence,android.permission.ACCESS_FINE_LOCATION,Location
android.hardware.location,GeofenceHardware,unregisterForMonitorStateChangeCallback,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,addGpsStatusListener,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,addNmeaListener,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,addProximityAlert,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.location,LocationManager,getGpsStatus,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,getLastKnownLocation,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.location,LocationManager,registerGnssMeasurementsCallback,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,registerGnssNavigationMessageCallback,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,registerGnssStatusCallback,android.permission.ACCESS_FINE_LOCATION,Location
android.location,LocationManager,removeProximityAlert,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.location,LocationManager,requestLocationUpdates,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.location,LocationManager,requestSingleUpdate,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.media,AudioRecord,<init>,android.permission.RECORD_AUDIO,Unknown
android.media,MediaRecorder,setAudioSource,android.permission.RECORD_AUDIO,Unknown
android.media.audiofx,Visualizer,<init>,android.permission.RECORD_AUDIO,Unknown
android.net.rtp,AudioGroup,<init>,android.permission.RECORD_AUDIO,Unknown
android.net.sip,SipAudioCall,startAudio,android.permission.RECORD_AUDIO,Unknown
android.net.sip,SipManager,createSipSession,android.permission.USE_SIP,Device Identifiers
android.net.sip,SipManager,getSessionFor,android.permission.USE_SIP,Device Identifiers
android.net.sip,SipManager,makeAudioCall,android.permission.USE_SIP,Device Identifiers
android.net.sip,SipManager,open,android.permission.USE_SIP,Device Identifiers
android.net.sip,SipManager,register,android.permission.USE_SIP,Device Identifiers
android.net.sip,SipManager,takeAudioCall,android.permission.USE_SIP,Device Identifiers
android.net.wifi,WifiManager,SCAN_RESULTS_AVAILABLE_ACTION,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.provider,CalendarContract,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$Attendees,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$CalendarAlerts,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$CalendarEntity,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$Calendars,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$Colors,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$EventDays,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$Events,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$EventsEntity,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
android.provider,CalendarContract$ExtendedProperties,CONTENT_URI,"android.permission.READ_CALENDAR, android.permission.WRITE_CALENDAR",Unknown
