Metric,Value
Total patterns,931
Successfully compiled,924
Failed compilation,7
Compilation success rate,99.25%

Provider distribution,
Azure,19
Open,6
Salesforce,6
Slack,6
Api,4
AWS,4
Bitbucket,4
Box,4
Get,4
Stripe,4
Twilio,4
Anypoint,3
Cloud,3
Git,3
Gitlab,3
Go,3
IP,3
Mailgun,3
Recharge,3
Sentry,3
Shopify,3
Square,3
Survey,3
Zip,3
Airtable,2
Alibaba,2
API,2
App,2
Artifactory,2
Atlassian,2
Atlassiandatacenter,2
Auth0oauth,2
Bannerbear,2
Buildkite,2
Circle,2
Click,2
Cloudflare,2
Coinbase,2
Copper,2
Currency,2
Customer,2
Deep,2
Digital,2
Discord,2
Dockerhub,2
Eleven,2
Exchange,2
Flight,2
Form,2
Fullstory,2
GCP,2
Gemini,2
Generic,2
Github,2
Google,2
Grafana,2
Graph,2
Heroku,2
Hub,2
Intra42,2
JDBC,2
Line,2
Map,2
Max,2
New,2
NGC,2
Npm,2
One,2
Paypal,2
Pdf,2
Planet,2
Portainer,2
Pub,2
Pusher,2
Ramp,2
Razor,2
Redis,2
Robinhood,2
Scraper,2
Scraping,2
Screenshot,2
Sourcegraph,2
Tableau,2
Trello,2
Trufflehog,2
Typeform,2
User,2
Weather,2
Webex,2
We,2
World,2
You,2
Abstract,1
Abuse,1
Abyssale,1
Accuweather,1
Adafruit,1
Adobe,1
Adzuna,1
Aeroworkflow,1
Agora,1
Aha,1
Airbrake,1
Airship,1
Air,1
Aiven,1
Alchemy,1
Alconost,1
Alegra,1
Aletheia,1
Algolia,1
Alien,1
Allsports,1
Amadeus,1
Ambee,1
Amplitude,1
Anthropic,1
Apacta,1
Api2Cart,1
Apiflash,1
Apify,1
Apilayer,1
Apollo,1
Appcues,1
Appfollow,1
Appointedd,1
Apptivo,1
Artsy,1
Asana,1
Assembly,1
Atera,1
Audd,1
Auth0Management,1
Autodesk,1
Autoklose,1
Auto,1
Avaza,1
Aviation,1
Aws,1
Axonaut,1
Aylien,1
Ayrshare,1
Azure_Entra,1
Baremetrics,1
Beamer,1
Beebole,1
Besnappy,1
Besttime,1
