provider,detector_name,regex_count,verification_supported
Azure,azuresastoken,7,true
Slack,slack,4,true
Twilio,twilio,4,true
Bitbucket,bitbucketapppassword,3,true
Box,boxoauth,3,true
Gitlab,gitlab,3,true
Mailgun,mailgun,3,true
Recharge,rechargepayments,3,true
Salesforce,salesforceoauth2,3,true
Stripe,stripepaymentintent,3,true
Alibaba,alibaba,2,true
Anypoint,anypoint,2,true
Api,apideck,2,true
Atlassian,atlassian,2,true
Atlassiandatacenter,atlassiandatacenter,2,false
Auth0oauth,auth0oauth,2,true
AWS,awssessionkey,2,true
Azure,azure,2,true
Azure,azureapimanagementrepositorykey,2,true
Azure,azurestorage,2,true
Bannerbear,bannerbear,2,true
Buildkite,buildkite,2,true
Circle,circle,2,true
Coinbase,coinbase,2,true
Copper,copper,2,true
Dockerhub,dockerhub,2,true
Eleven,elevenlabs,2,true
Fullstory,fullstory,2,true
Gemini,gemini,2,true
Generic,generic,2,true
Github,github,2,true
Git,gitlaboauth2,2,true
Graph,graphcms,2,true
Heroku,heroku,2,true
Hub,hubspotapikey,2,true
Intra42,intra42,2,true
JDBC,jdbc,2,true
Map,mapbox,2,true
Max,maxmindlicense,2,true
NGC,ngc,2,true
Npm,npmtoken,2,true
One,onelogin,2,true
Paypal,paypaloauth,2,true
Pub,pubnubpublishkey,2,true
Pusher,pusherchannelkey,2,true
Ramp,ramp,2,true
Razor,razorpay,2,true
Redis,redis,2,true
Robinhood,robinhoodcrypto,2,true
Salesforce,salesforce,2,true
Sentry,sentrytoken,2,true
Shopify,shopifyoauth,2,true
Slack,slackwebhook,2,true
Square,squareapp,2,true
Tableau,tableaupersonalaccesstoken,2,true
Trello,trelloapikey,2,true
Trufflehog,trufflehogenterprise,2,true
Typeform,typeform,2,true
We,wepay,2,true
Abstract,abstract,1,true
Abuse,abuseipdb,1,true
Abyssale,abyssale,1,true
Accuweather,accuweather,1,true
Adafruit,adafruitio,1,true
Adobe,adobeio,1,true
Adzuna,adzuna,1,true
Aeroworkflow,aeroworkflow,1,true
Agora,agora,1,true
Aha,aha,1,true
Airbrake,airbrakeprojectkey,1,true
Airship,airship,1,true
Airtable,airtableoauth,1,true
Airtable,airtablepersonalaccesstoken,1,true
Air,airvisual,1,true
Aiven,aiven,1,true
Alchemy,alchemy,1,true
Alconost,alconost,1,true
Alegra,alegra,1,true
Aletheia,aletheiaapi,1,true
Algolia,algoliaadminkey,1,true
Alien,alienvault,1,true
Allsports,allsports,1,true
Amadeus,amadeus,1,true
Ambee,ambee,1,true
Amplitude,amplitudeapikey,1,true
Anthropic,anthropic,1,true
Anypoint,anypointoauth2,1,true
Apacta,apacta,1,true
Api2Cart,api2cart,1,true
Apiflash,apiflash,1,true
Api,apifonica,1,true
Apify,apify,1,true
Apilayer,apilayer,1,true
API,apimatic,1,true
Api,apimetrics,1,true
API,apitemplate,1,true
Apollo,apollo,1,true
Appcues,appcues,1,true
Appfollow,appfollow,1,true
Appointedd,appointedd,1,true
App,appoptics,1,true
App,appsynergy,1,true
Apptivo,apptivo,1,true
Artifactory,artifactoryaccesstoken,1,true
Artifactory,artifactoryreferencetoken,1,true
Artsy,artsy,1,true
Asana,asanaoauth,1,true
Assembly,assemblyai,1,true
Atera,atera,1,true
Audd,audd,1,true
Auth0Management,auth0managementapitoken,1,true
Autodesk,autodesk,1,true
Autoklose,autoklose,1,true
Auto,autopilot,1,true
Avaza,avazapersonalaccesstoken,1,true
Aviation,aviationstack,1,true
Aws,aws,1,false
AWS,aws,1,true
AWS,awsappsync,1,true
Axonaut,axonaut,1,true
Aylien,aylien,1,true
Ayrshare,ayrshare,1,true
Azure_Entra,azure_entra,1,false
Azure,azureappconfigconnectionstring,1,true
Azure,azurebatch,1,true
Azure,azurecontainerregistry,1,true
Azure,azurecosmosdbkeyidentifiable,1,true
Azure,azureopenai,1,true
Azure,azurerefreshtoken,1,true
Baremetrics,baremetrics,1,true
Beamer,beamer,1,true
Beebole,beebole,1,true
Besnappy,besnappy,1,true
Besttime,besttime,1,true
Better,betterstack,1,true
Billomat,billomat,1,true
Bing,bingsubscriptionkey,1,true
Bitbar,bitbar,1,true
Bitbucket,bitbucketdatacenter,1,true
Bitcoin,bitcoinaverage,1,true
Bitfinex,bitfinex,1,true
Bit,bitlyaccesstoken,1,true
Bitmex,bitmex,1,true
Blazemeter,blazemeter,1,true
Blit,blitapp,1,true
Block,blocknative,1,true
Blogger,blogger,1,true
Bomb,bombbomb,1,true
Boost,boostnote,1,true
Borgbase,borgbase,1,true
Box,box,1,true
Braintree,braintreepayments,1,true
Brain,braintrustapikey,1,true
Brandfetch,brandfetch,1,true
Browser,browserstack,1,true
Browshot,browshot,1,true
Bsc,bscscan,1,true
Buddy,buddyns,1,true
Budibase,budibase,1,true
Bugherd,bugherd,1,true
Bugsnag,bugsnag,1,true
Bulbul,bulbul,1,true
Bulksms,bulksms,1,true
Butter,buttercms,1,true
Caflou,caflou,1,true
Calendarific,calendarific,1,true
Calendly,calendlyapikey,1,true
Calorie,calorieninja,1,true
Campayn,campayn,1,true
Canny,cannyio,1,true
Capsule,capsulecrm,1,true
Captain,captaindata,1,true
Carbon,carboninterface,1,true
Cashboard,cashboard,1,true
Caspio,caspio,1,true
Censys,censys,1,true
Central,centralstationcrm,1,true
Cex,cexio,1,true
Chartmogul,chartmogul,1,true
Chatbot,chatbot,1,true
Chatfule,chatfule,1,true
Chec,checio,1,true
Checkly,checklyhq,1,true
Checkout,checkout,1,true
Checkvist,checkvist,1,true
Cicero,cicero,1,true
Clarifai,clarifai,1,true
Clearbit,clearbit,1,true
Click,clickhelp,1,true
Click,clicksendsms,1,true
Clickup,clickuppersonaltoken,1,true
Cliengo,cliengo,1,true
Clientary,clientary,1,true
Clinchpad,clinchpad,1,true
Clockify,clockify,1,true
Clockwork,clockworksms,1,true
Close,close,1,true
Cloud,cloudconvert,1,true
Cloud,cloudelements,1,true
Cloudflare,cloudflareapitoken,1,true
Cloudflare,cloudflarecakey,1,true
Cloud,cloudimage,1,true
Cloudinary,cloudinary,1,true
Cloudmersive,cloudmersive,1,true
Cloudplan,cloudplan,1,true
Cloudsmith,cloudsmith,1,true
Cloverly,cloverly,1,true
Cloze,cloze,1,true
Clust,clustdoc,1,true
Coda,coda,1,true
Codacy,codacy,1,true
Codeclimate,codeclimate,1,true
Codemagic,codemagic,1,true
Codequiry,codequiry,1,true
Coin,coinapi,1,true
Coinlayer,coinlayer,1,true
Coinlib,coinlib,1,true
Collect2,collect2,1,true
Column,column,1,true
Commerce,commercejs,1,true
Commodities,commodities,1,true
Company,companyhub,1,true
Confluent,confluent,1,true
Contentful,contentfulpersonalaccesstoken,1,true
Conversion,conversiontools,1,true
Convert,convertapi,1,true
Convertkit,convertkit,1,true
Convier,convier,1,true
Couchbase,couchbase,1,true
Country,countrylayer,1,true
Courier,courier,1,true
Coveralls,coveralls,1,true
Craft,craftmypdf,1,true
Crowdin,crowdin,1,true
Crypto,cryptocompare,1,true
Currency,currencycloud,1,true
Currencyfreaks,currencyfreaks,1,true
Currencylayer,currencylayer,1,true
Currency,currencyscoop,1,true
Currents,currentsapi,1,true
Customer,customerguru,1,true
Customer,customerio,1,true
D7Network,d7network,1,true
Daily,dailyco,1,true
Dandelion,dandelion,1,true
Dareboost,dareboost,1,true
Databox,databox,1,true
Databricks,databrickstoken,1,true
Datadog,datadogapikey,1,true
Data,datagov,1,true
Debounce,debounce,1,true
Deep,deepai,1,true
Deepgram,deepgram,1,true
