provider,detector_count,regex_count,verification_supported_count
API,2,2,2
AWS,3,4,3
Abstract,1,1,1
Abuse,1,1,1
Abyssale,1,1,1
Accuweather,1,1,1
Adafruit,1,1,1
Adobe,1,2,1
Adzuna,1,2,1
Aeroworkflow,1,2,1
Agora,1,2,1
Aha,1,1,1
Air,1,1,1
Airbrake,2,3,2
Airship,1,1,1
Airtable,2,2,2
Aiven,1,1,1
Alchemy,1,1,1
Alconost,1,1,1
Alegra,1,2,1
Aletheia,1,1,1
Algolia,1,2,1
Alibaba,1,2,1
Alien,1,1,1
Allsports,1,1,1
Amadeus,1,2,1
Ambee,1,1,1
Amplitude,1,2,1
Anthropic,1,1,1
Anypoint,2,4,2
Apacta,1,1,1
Api,3,4,3
Api2Cart,1,1,1
Apiflash,1,1,1
Apify,1,1,1
Apilayer,1,1,1
Apollo,1,1,1
App,2,2,2
Appcues,1,3,1
Appfollow,1,1,1
Appointedd,1,1,1
Apptivo,1,2,1
Artifactory,2,2,2
Artsy,1,2,1
Asana,2,2,2
Assembly,1,1,1
Atera,1,1,1
Atlassian,2,3,2
Atlassiandatacenter,1,2,0
Audd,1,1,1
Auth0Management,1,1,1
Auth0oauth,1,2,1
Auto,1,1,1
Autodesk,1,2,1
Autoklose,1,1,1
Avaza,1,1,1
Aviation,1,1,1
Aws,1,1,0
Axonaut,1,1,1
Aylien,1,2,1
Ayrshare,1,1,1
Azure,17,27,17
Azure_Entra,1,1,0
Bannerbear,2,2,2
Baremetrics,1,1,1
Beamer,1,1,1
Beebole,1,1,1
Besnappy,1,1,1
Besttime,1,1,1
Better,1,1,1
Billomat,1,2,1
Bing,1,1,1
Bit,1,1,1
Bitbar,1,1,1
Bitbucket,2,4,2
Bitcoin,1,1,1
Bitfinex,1,2,1
Bitmex,1,2,1
Blazemeter,1,1,1
Blit,1,1,1
Block,1,1,1
Blogger,1,1,1
Bomb,1,1,1
Boost,1,1,1
Borgbase,1,1,1
Box,2,4,2
Brain,1,1,1
Braintree,1,2,1
Brandfetch,2,2,2
Browser,1,2,1
Browshot,1,1,1
Bsc,1,1,1
Buddy,1,1,1
Budibase,1,1,1
Bugherd,1,1,1
Bugsnag,1,1,1
Buildkite,2,2,2
